id_run,id_climber,date,run_number,URL,start,end,time_sec,time_frames,finished,side,extra
52_2018-07-28_1,52,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1625.81,1631.72,5.91,148,1,l,25
50_2018-07-28_1,50,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1625.8,1631.8,6.0,150,1,r,25
25_2018-07-28_1,25,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1697.68,1703.84,6.16,154,1,l,25
17_2018-07-28_1,17,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1697.68,1704.0,6.32,158,1,r,25
41_2018-07-28_1,41,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1768.21,1774.48,6.27,157,1,l,25
11_2018-07-28_1,11,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1768.21,1774.44,6.23,156,1,r,25
4_2018-07-28_1,4,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1857.67,1863.52,5.85,147,1,l,25
24_2018-07-28_1,24,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1857.66,1863.76,6.1,153,1,r,25
1_2018-07-28_1,1,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1931.67,1937.32,5.65,142,1,l,25
15_2018-07-28_1,15,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,1931.68,1938.28,6.6,165,1,r,25
12_2018-07-28_1,12,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,2012.85,2019.08,6.23,156,1,r,25
47_2018-07-28_1,47,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,2012.83,2019.96,7.13,179,1,l,25
51_2018-07-28_1,51,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,2081.83,2088.04,6.21,156,1,l,25
44_2018-07-28_1,44,2018-07-28,1,https://www.youtube.com/watch?v=gov-xssWc0E,2081.78,2088.12,6.34,159,1,r,25
